<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RI.MICEX LC,W,20100125,000000,2309.1300000
RI.MICEX LC,W,20100201,000000,2203.9800000
RI.MICEX LC,W,20100208,000000,2126.2300000
RI.MICEX LC,W,20100215,000000,2203.0200000
RI.MICEX LC,W,20100222,000000,2162.2500000
RI.MICEX LC,W,20100301,000000,2295.7200000
RI.MICEX LC,W,20100308,000000,2292.2300000
RI.MICEX LC,W,20100315,000000,2298.7700000
RI.MICEX LC,W,20100322,000000,2285.2500000
RI.MICEX LC,W,20100329,000000,2377.8200000
RI.MICEX LC,W,20100405,000000,2404.9700000
RI.MICEX LC,W,20100412,000000,2411.8700000
RI.MICEX LC,W,20100419,000000,2368.9300000
RI.MICEX LC,W,20100426,000000,2325.0900000
RI.MICEX LC,W,20100503,000000,2082.5900000
RI.MICEX LC,W,20100510,000000,2184.6000000
RI.MICEX LC,W,20100517,000000,2052.0000000
RI.MICEX LC,W,20100524,000000,2117.2000000
RI.MICEX LC,W,20100531,000000,2153.9100000
RI.MICEX LC,W,20100607,000000,2161.6300000
RI.MICEX LC,W,20100614,000000,2214.5800000
RI.MICEX LC,W,20100621,000000,2170.0500000
RI.MICEX LC,W,20100628,000000,2077.3500000
RI.MICEX LC,W,20100705,000000,2140.8700000
RI.MICEX LC,W,20100712,000000,2150.7800000
RI.MICEX LC,W,20100719,000000,2242.7700000
RI.MICEX LC,W,20100726,000000,2265.4000000
RI.MICEX LC,W,20100802,000000,2273.1400000
RI.MICEX LC,W,20100809,000000,2219.6200000
RI.MICEX LC,W,20100816,000000,2210.6300000
RI.MICEX LC,W,20100823,000000,2210.7100000
RI.MICEX LC,W,20100830,000000,2277.7700000
RI.MICEX LC,W,20100906,000000,2312.9200000
RI.MICEX LC,W,20100913,000000,2282.7600000
RI.MICEX LC,W,20100920,000000,2314.2700000
RI.MICEX LC,W,20100927,000000,2349.6500000
RI.MICEX LC,W,20101004,000000,2355.9300000
RI.MICEX LC,W,20101011,000000,2393.9200000
RI.MICEX LC,W,20101018,000000,2447.2600000
RI.MICEX LC,W,20101025,000000,2448.9800000
RI.MICEX LC,W,20101101,000000,2478.6600000
RI.MICEX LC,W,20101108,000000,2477.9500000
RI.MICEX LC,W,20101115,000000,2497.1600000
RI.MICEX LC,W,20101122,000000,2504.8200000
RI.MICEX LC,W,20101129,000000,2637.7200000
RI.MICEX LC,W,20101206,000000,2649.0500000
RI.MICEX LC,W,20101213,000000,2661.6500000
RI.MICEX LC,W,20101220,000000,2681.4800000
RI.MICEX LC,W,20101227,000000,2706.2800000
RI.MICEX LC,W,20110110,000000,2807.9500000
RI.MICEX LC,W,20110117,000000,2819.8700000
RI.MICEX LC,W,20110124,000000,2803.1800000
RI.MICEX LC,W,20110131,000000,2843.1400000
RI.MICEX LC,W,20110207,000000,2768.1300000
RI.MICEX LC,W,20110214,000000,2727.9400000
RI.MICEX LC,W,20110221,000000,2818.6300000
RI.MICEX LC,W,20110228,000000,2870.6800000
RI.MICEX LC,W,20110307,000000,2770.3800000
RI.MICEX LC,W,20110314,000000,2825.3800000
RI.MICEX LC,W,20110321,000000,2918.6500000
RI.MICEX LC,W,20110328,000000,2976.8200000
RI.MICEX LC,W,20110404,000000,2991.2100000
RI.MICEX LC,W,20110411,000000,2879.0000000
RI.MICEX LC,W,20110418,000000,2898.5200000
RI.MICEX LC,W,20110425,000000,2806.7300000
RI.MICEX LC,W,20110502,000000,2707.5700000
RI.MICEX LC,W,20110509,000000,2631.3600000
