<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,W,20160118,000000,91.5000000
SBER,W,20160125,000000,96.5000000
SBER,W,20160201,000000,97.2000000
SBER,W,20160208,000000,94.8500000
SBER,W,20160215,000000,102.3500000
SBER,W,20160222,000000,106.2400000
SBER,W,20160229,000000,108.9900000
SBER,W,20160307,000000,109.2600000
SBER,W,20160314,000000,112.4000000
SBER,W,20160321,000000,109.1000000
SBER,W,20160328,000000,108.5200000
SBER,W,20160404,000000,112.9200000
SBER,W,20160411,000000,119.3000000
SBER,W,20160418,000000,121.2500000
SBER,W,20160425,000000,123.5500000
SBER,W,20160502,000000,120.6400000
SBER,W,20160509,000000,121.0700000
SBER,W,20160516,000000,121.9000000
SBER,W,20160523,000000,133.2000000
SBER,W,20160530,000000,131.5900000
SBER,W,20160606,000000,133.5000000
SBER,W,20160613,000000,128.7000000
SBER,W,20160620,000000,133.4000000
SBER,W,20160627,000000,133.8500000
SBER,W,20160704,000000,134.4100000
SBER,W,20160711,000000,138.1200000
SBER,W,20160718,000000,137.8000000
SBER,W,20160725,000000,139.1500000
SBER,W,20160801,000000,138.6900000
SBER,W,20160808,000000,139.4500000
SBER,W,20160815,000000,135.8000000
SBER,W,20160822,000000,145.2500000
SBER,W,20160926,000000,145.3400000
SBER,W,20161003,000000,148.7400000
SBER,W,20161010,000000,146.7300000
SBER,W,20161017,000000,148.4200000
SBER,W,20161024,000000,149.2000000
SBER,W,20161031,000000,142.7500000
SBER,W,20161107,000000,151.5100000
SBER,W,20161114,000000,150.0500000
SBER,W,20161121,000000,160.3600000
SBER,W,20161128,000000,159.4000000
SBER,W,20161205,000000,169.6600000
SBER,W,20161212,000000,173.9000000
SBER,W,20161219,000000,171.1500000
SBER,W,20161226,000000,173.2500000
SBER,W,20170102,000000,170.6900000
SBER,W,20170109,000000,164.9000000
SBER,W,20170116,000000,167.4900000
SBER,W,20170123,000000,178.9200000
SBER,W,20170130,000000,173.8000000
SBER,W,20170206,000000,165.5000000
SBER,W,20170213,000000,165.4900000
SBER,W,20170220,000000,165.5100000
SBER,W,20170227,000000,164.4000000
